id,name,description,price,category,test_min,test_max
1,Спиннинг Shimano Catana DX 240ML 5-20г,Лёгкий и чувствительный спиннинг для микроджига и ловли окуня. Быстрый строй.,6490,Спиннинги,5.0,20.0
2,Спиннинг Lucky John Progress Jig 24 10-30г,Универсальный спиннинг для береговой ловли щуки и судака.,4390,Спиннинги,10.0,30.0
3,Спиннинг Maximus High Energy-X 21L 3-15г,Лайт спиннинг для мелких приманок и осторожного окуня.,3790,Спиннинги,3.0,15.0
4,Спиннинг Волжанка Метеор 270 7-28г,Надёжный бюджетный спиннинг российского производства.,2990,Спиннинги,7.0,28.0
5,Спиннинг Shimano Exage 270 8-28г,Качественный спиннинг среднего класса.,7990,Спиннинги,8.0,28.0
6,Спиннинг Daiwa Ninja Spin 240 10-30г,Хороший спиннинг по доступной цене.,5890,Спиннинги,10.0,30.0
7,Катушка Shimano Stradic FL C3000,Одна из лучших катушек в среднем ценовом сегменте с плавным ходом.,12990,Катушки,,
8,Катушка Daiwa Ninja 2500A,Популярная катушка для лёгкого и среднего спиннинга.,5590,Катушки,,
9,Катушка Ryobi Exia 3000,Надёжная бюджетная катушка с хорошей укладкой лески.,3490,Катушки,,
10,Катушка Okuma Ceymar C-30,Компактная и мощная катушка для ультралайтовой ловли.,4690,Катушки,,
11,Катушка Shimano Twin Power 3000,Флагманская катушка премиум-класса.,18900,Катушки,,
12,Фидер Salmo Sniper Feeder 360 120г,Мощный фидер для дальнего заброса на реке.,5890,Фидеры,0.0,120.0
13,Фидер Волжанка Оптима 390 150г,Классический фидер для любительской ловли.,5190,Фидеры,0.0,150.0
14,Воблер Rapala X-Rap 100,Один из самых популярных воблеров для ловли щуки и судака.,1350,Воблеры,,
15,Воблер Yo-Zuri L-Minnow 66,Компактный воблер с агрессивной игрой.,950,Воблеры,,
16,Воблер Salmo Hornet 5см,"Недорогой, но очень уловистый воблер.",690,Воблеры,,
17,"Силикон Keitech Swing Impact 3.8"" (10 шт)",Очень уловистый виброхвост для щуки и крупного окуня.,1050,Приманки,,
18,"Силикон Mann's Predator 4"" (8 шт)",Классическая силиконовая приманка.,780,Приманки,,
19,Блесна Mepps Aglia №3 золотая,Легендарная вращающаяся блесна.,480,Блесны,,
20,Блесна Blue Fox Vibrax №4,Качественная блесна с сильной вибрацией.,650,Блесны,,
21,Зимний костюм Norfin Discovery,Тёплый мембранный костюм для зимней рыбалки.,16200,Одежда,,
22,Демисезонный костюм Azura Pro,Универсальный костюм для весны и осени.,9200,Одежда,,
23,Подсак телескопический 200см треугольный,Удобный подсак для вываживания крупной рыбы.,2650,Аксессуары,,
24,Рыболовный ящик Plano 1364,Прочный ящик с множеством отсеков.,4150,Аксессуары,,
25,Спиннинг Abu Garcia Vendetta VRC702M 7-28г,Надёжный средне-быстрый спиннинг с качественной фурнитурой.,7590,Спиннинги,7.0,28.0
26,Спиннинг Black Hole NS Matrix 240 5-21г,Лёгкий и сбалансированный спиннинг для джига и воблеров.,5690,Спиннинги,5.0,21.0
27,Спиннинг Zemex Spider Pro 240 10-32г,Универсальный спиннинг с большим тестом для трофейной рыбы.,4890,Спиннинги,10.0,32.0
28,Спиннинг Favorite Blue Bird 270 8-28г,Хороший бюджетный спиннинг для начинающих и опытных рыбаков.,3490,Спиннинги,8.0,28.0
29,Спиннинг Major Craft N-One 180 0.5-5г,Ультралайтовый спиннинг для ловли на микроприманки.,6790,Спиннинги,0.5,5.0
30,Спиннинг Stinger Ultralight 2.13м 1-7г,Ультралайт для окуня и форели с мягкой вершинкой.,2990,Спиннинги,1.0,7.0
31,Спиннинг Maximus Black Widow 23L 4-16г,Яркий и звонкий спиннинг для активного твичинга.,4190,Спиннинги,4.0,16.0
32,Спиннинг Kosadaka Menace 240 15-40г,Мощный спиннинг для больших приманок и крупной щуки.,3390,Спиннинги,15.0,40.0
33,Спиннинг Lucky John Basara 27 10-35г,Спиннинг быстрого строя для джиговой ловли судака.,4690,Спиннинги,10.0,35.0
34,Катушка Daiwa Legalis LT 2500D,Лёгкая и надёжная катушка с технологией Air Rotor.,7590,Катушки,,
35,Катушка Shimano Nasci FB 2500,Выносливая катушка с холоднокованым ротором.,8790,Катушки,,
36,Катушка Abu Garcia Revo X 3000,Мощная и плавная катушка для серьёзных нагрузок.,9990,Катушки,,
37,Катушка Ryobi Virago 1000,Компактная катушка для ультралайта с тонкой настройкой фрикциона.,3790,Катушки,,
38,Катушка Okuma Helios SX 30,Катушка с дисковым тормозом и облегчённым корпусом.,5490,Катушки,,
39,Катушка Favorite X1 2000,Бюджетная модель с хорошей тягой для лёгкого спиннинга.,2890,Катушки,,
40,Катушка Tsurinoya Spirit Fox 2500,Популярная китайская катушка с отличным соотношением цена/качество.,4590,Катушки,,
41,Катушка Spro Zalt M 2500,Универсальная катушка с металлическим корпусом.,6890,Катушки,,
42,Катушка Stinger Power 3000,Бюджетная катушка с хорошей укладкой лески.,2590,Катушки,,
43,Фидер Daiwa Whisker 330 100г,Лёгкий и точный фидер для стоячей воды.,8490,Фидеры,0.0,100.0
44,Фидер Shimano Beastmaster Feeder 360 120г,Премиальный фидер с высокой чувствительностью.,13490,Фидеры,0.0,120.0
45,Фидер Mikado Sensei Feeder 390 150г,Надёжный фидер для реки и озера с быстрым строем.,6190,Фидеры,0.0,150.0
46,Фидер Browning Black Viper 360 140г,Универсальный фидер с запасом мощности.,7790,Фидеры,0.0,140.0
47,Фидер Salmo Sniper Feeder 390 180г,Мощный фидер для дальнего заброса тяжёлых кормушек.,6290,Фидеры,0.0,180.0
48,Воблер Kosadaka Ion 65S,Уловистый составной воблер для твичинга судака.,750,Воблеры,,
49,Воблер ZipBaits Orbit 80 SSR,Дальнобойный воблер с реалистичной игрой.,1450,Воблеры,,
50,Воблер Strike Pro Midge Vibe 5.5см,Маленькая вибрирующая приманка для окуня.,520,Воблеры,,
51,Воблер Jackall Chubby 38F,Крошечный плавающий воблер для форели и окуня.,1100,Воблеры,,
52,Воблер Megabass Vision Oneten,Культовый японский воблер с уникальной игрой.,1850,Воблеры,,
53,Воблер Googan Squad Rattlin' Ned 3.5см,Шумящий воблер для ловли в траве.,820,Воблеры,,
54,Воблер Daiwa Dr. Minnow 50SP,Суспендер с реалистичной формой малька.,1280,Воблеры,,
55,"Виброхвост Relax Twister 4"" (10 шт)",Классический твистер для щуки и окуня.,550,Приманки,,
56,"Твистер Mann's Samba 3"" (8 шт)",Универсальный твистер с яркой игрой.,680,Приманки,,
57,"Силиконовый рак Kosadaka Diesel 3"" (6 шт)","Реалистичный рак для джига, любимое лакомство судака.",520,Приманки,,
58,"Силикон Berkley PowerBait Rib Shad 4"" (5 шт)",Поглощающий запах виброхвост с ребристой поверхностью.,890,Приманки,,
59,"Виброхвост Keitech Easy Shiner 4"" (8 шт)",Мягкий и очень подвижный виброхвост для равномерной проводки.,1150,Приманки,,
60,"Слаг FishUp Dart 3.5"" (8 шт)",Пассивная приманка для ловли пассивного хищника.,490,Приманки,,
61,Поролоновая рыбка 5см (5 шт),Легендарная приманка для ловли судака на джиг.,390,Приманки,,
62,"Силиконовый червь Zoom Trick Worm 6"" (10 шт)",Уловистый червь с большой амплитудой игры.,720,Приманки,,
63,Блесна вращ. Mepps Aglia Long №2 серебро,Дальнобойная вращающаяся блесна с лепестком Aglia.,450,Блесны,,
64,Блесна Daiwa Silver Creek Spinner R 2.5г,Лёгкая блесна с отличной аэродинамикой.,620,Блесны,,
65,Колебалка Salmo Series 4 6.5см 12г,Колеблющаяся блесна для ловли щуки на глубине.,680,Блесны,,
66,Колебалка Abu Garcia Toby 18г,Знаменитая колебалка с широкой игрой.,750,Блесны,,
67,Блесна Blue Fox Matrixx Spinner №3,"Вращалка с сердечником, создающим сильную вибрацию.",580,Блесны,,
68,Блесна вращ. Smith Niakis 9г,Японская вращалка для ловли на быстрой воде.,890,Блесны,,
69,Плетеный шнур Sunline Siglon PE 0.6# 135м,Качественная японская плетёнка с высокой разрывной нагрузкой.,1890,Лески и шнуры,,
70,Шнур плетёный Power Phantom 0.08мм 150м,Четырёхжильный шнур с гладким покрытием.,890,Лески и шнуры,,
71,Леска монофильная Trabucco T-Force 0.25мм 150м,Износостойкий монофил для поводков и оснасток.,490,Лески и шнуры,,
72,Флюорокарбон Sunline Sniper 100м 0.285мм,Невидимый в воде флюорокарбон для ответственных монтажей.,1350,Лески и шнуры,,
73,Леска плетёная YGK BornRush PE 0.8 150м,Очень прочная плетёнка для тяжёлого джига.,2150,Лески и шнуры,,
74,Леска монофильная Owner Broad 0.20мм 100м,Мягкая леска с хорошим узловязанием.,370,Лески и шнуры,,
75,Крючки Owner Mosquito Light №8 (20 шт),Острые лёгкие крючки для поплавочной ловли.,390,Крючки,,
76,Крючки Gamakatsu F-1 508 №10 (15 шт),Тонкие и прочные крючки для мотыля и опарыша.,280,Крючки,,
77,Крючки Mustad 32648 IN №4 (10 шт),Кованые крючки для червя с бородкой.,210,Крючки,,
78,Офсетные крючки VMC 7117 №2/0 (10 шт),Офсетники с широким зевом для крупного силикона.,450,Крючки,,
79,Двойник Owner №6 (10 шт),Прочные двойники для оснащения воблеров и блёсен.,320,Крючки,,
80,Поплавок Colmic Cronos 2г,Спортивный поплавок с высокой чувствительностью.,180,Поплавки,,
81,Поплавок Maver Styl 1.5г,Лёгкий поплавок из бальзы для стоячей воды.,220,Поплавки,,
82,Поплавок Preston Durafloat 2.5г,Плавающий поплавок с отличной видимостью.,160,Поплавки,,
83,Поплавок скользящий 5г универсальный,Скользящий поплавок для дальнего заброса.,140,Поплавки,,
84,Кормушка металлическая 30г (клетка),Классическая флет-кормушка для фидера.,190,Кормушки,,
85,Кормушка пластиковая 40г методная,Методная кормушка для быстрого прикармливания.,230,Кормушки,,
86,Кормушка Feeder basket 20г,Лёгкая корзинка для стартового закорма.,160,Кормушки,,
87,Кормушка Method feeder 30г,Кормушка с плоским дном для стоячей воды.,210,Кормушки,,
88,Прикормка Trapper Лещ-Плотва 1кг,Готовая прикормка с ароматом ванили для леща.,390,Прикормка,,
89,Прикормка Dunaev Premium Фидер 1.5кг,Универсальная фидерная прикормка с крупной фракцией.,470,Прикормка,,
90,Прикормка Sensas 3000 Match 2кг,Французская прикормка для матчевой ловли.,650,Прикормка,,
91,Сапоги болотные Nordman X,Лёгкие и прочные вейдерсы для ходовой рыбалки.,4390,Одежда,,
92,Перчатки Rapala Insulated зимние,Тёплые перчатки с отстёгивающимися пальцами.,1790,Одежда,,
93,Куртка летняя Daiwa Protection,Дышащая куртка с защитой от солнца и насекомых.,5890,Одежда,,
94,Садок резиновый 3м,Вместительный складной садок для сохранения улова.,1650,Аксессуары,,
95,Эхолот Garmin Striker Vivid 4cv,Компактный эхолот с цветным экраном и датчиком.,21900,Аксессуары,,
96,Сумка-холодильник Salmo 20л,Термосумка для сохранения улова и продуктов в жару.,3450,Аксессуары,,
97,Чехол для удилищ двуручный 1.6м,Мягкий чехол с карманами на две рукоятки.,1290,Аксессуары,,
98,Багорик телескопический с пробковой рукояткой,Надёжный багорик для извлечения крупной щуки.,1150,Аксессуары,,
99,Ножницы для лески Victorinox,Острые ножницы из нержавейки с чехлом.,1890,Инструменты,,
100,Плоскогубцы рыболовные с фиксатором,Многофункциональный инструмент для монтажа оснасток.,890,Инструменты,,
101,Спиннинг Graphiteleader Corto GLCCS-682L 2-10г,Высококачественный японский спиннинг для легкого джига.,18900,Спиннинги,2.0,10.0
102,Спиннинг Norstream Areal 240 2-15г,Универсальный спиннинг для береговой ловли с быстрым строем.,8490,Спиннинги,2.0,15.0
103,Спиннинг Maximus Dreamer 27L 3-18г,Дальнобойный спиннинг для микроджига и легких воблеров.,5990,Спиннинги,3.0,18.0
104,Спиннинг Black Hole Bassmania S-240 7-28г,Бюджетный спиннинг для ловли на воблеры и блесны.,3290,Спиннинги,7.0,28.0
105,Спиннинг Zemex Bass Force 240M 10-38г,Мощный спиннинг для трофейной щуки и судака.,5190,Спиннинги,10.0,38.0
106,Спиннинг Major Craft K.G.Lights 23L 1-5г,Ультралайт премиум-класса для ловли форели.,9990,Спиннинги,1.0,5.0
107,Катушка Shimano Ultegra 2500S,"Легкая катушка с холоднокованым ротором, плавный ход.",10990,Катушки,,
108,Катушка Daiwa Freams LT 2500D,Мощная и легкая катушка с технологией MagSealed.,11990,Катушки,,
109,Катушка Abu Garcia Elite Max 30,Надежная катушка с двойным тормозом для больших нагрузок.,8990,Катушки,,
110,Катушка Ryobi Zauber 2000,Компактная катушка для ультралайта с фрикционом точной настройки.,4590,Катушки,,
111,Катушка Okuma RTX-30S,Скоростная катушка с облегченным ротором.,6290,Катушки,,
112,Катушка Favorite White Bird 2000,Бюджетная катушка с хорошей тягой для легких приманок.,2190,Катушки,,
113,Мультипликатор Shimano Curado DC 151,Мультипликаторная катушка с цифровой системой контроля заброса.,22900,Катушки,,
114,Мультипликатор Daiwa Tatula 100H,Популярный мультипликатор с системой T-Wing.,15990,Катушки,,
115,Мультипликатор Abu Garcia Ambassadeur SX 5600,Классический круглый мультипликатор для тяжелого джига.,12490,Катушки,,
116,Мультипликатор Favorite Extractor 7.3:1,Скоростной мультипликатор для твичинга.,8790,Катушки,,
117,Фидер Preston Monster Feeder 390 150г,Профессиональный фидер для ловли крупной рыбы.,12490,Фидеры,0.0,150.0
118,Фидер Shimano Tribal TX-2 360 100г,Универсальный фидер с высокой чувствительностью вершинки.,9490,Фидеры,0.0,100.0
119,Фидер Волжанка Мастер 420 180г,Мощный фидер для дальнего заброса на крупных реках.,6690,Фидеры,0.0,180.0
120,Карповое удилище Fox Horizon XTC 120г,Премиальное карповое удилище с высокой прочностью.,18900,Карповые удилища,0.0,120.0
121,Карповое удилище Shimano Tribal Velocity 130г,Универсальное удилище для карпятника.,11990,Карповые удилища,0.0,130.0
122,Карповое удилище Mikado Carp Spirit 366 150г,Бюджетное карповое удилище с хорошим строем.,5490,Карповые удилища,0.0,150.0
123,Зимняя удочка Salmo Ice Fighter 60см,Легкая удочка для блеснения окуня.,1290,Зимние удочки,,
124,Зимняя удочка Lucky John MGS 55см,Удочка с кивком для ловли на мормышку.,890,Зимние удочки,,
125,Зимняя удочка Stinger Power Ice 70см,Мощная удочка для балансира и крупной щуки.,1590,Зимние удочки,,
126,Воблер OSP Rudra 130SP,Крупный составной воблер для трофейной щуки.,2200,Воблеры,,
127,Воблер Ever Green M-1 Invisible 80,Уловистый воблер-минноу нейтральной плавучести.,1600,Воблеры,,
128,Воблер Pontoon 21 Crackjack 78MR,Дальнобойный воблер с активной игрой.,1100,Воблеры,,
129,Воблер Lucky Craft Pointer 100SP,Классический суспендер для твичинга судака.,1500,Воблеры,,
130,Воблер Rapala Shadow Rap 11см,Плавающий воблер для ловли на мелководье.,1350,Воблеры,,
131,"Силикон Bass Assassin 4"" (10 шт)",Универсальный виброхвост с интенсивной игрой.,690,Приманки,,
132,"Слаг Reins Palpunt 4"" (8 шт)",Имитация малька с пассивной игрой для пассивного хищника.,850,Приманки,,
133,"Силиконовая креатура Geecrack Bellows Gill 3.8"" (6 шт)",Реалистичная имитация лягушки для ловли щуки.,980,Приманки,,
134,Поролоновая рыбка Акелла 6см (5 шт),Судаковая поролонка с отличной плавучестью.,420,Приманки,,
135,"Силикон Kosadaka Revolt 3.5"" (10 шт)",Съедобный силикон с запахом чеснока.,550,Приманки,,
136,Колебалка Kuusamo Professor 3 18г,Финская колебалка с уникальной игрой для щуки.,950,Блесны,,
137,Вертушка Myran Tinsel 12г,Шведская вращалка с красной шерстинкой.,520,Блесны,,
138,Блесна Acme Kastmaster 7г,Универсальная блесна для дальнего заброса.,380,Блесны,,
139,Балансир Rapala Jigging Rap 5см 9г,Уловистый балансир для зимней ловли окуня и судака.,780,Балансиры,,
140,Балансир Lucky John Classic 4см 10г,Балансир с широкой амплитудой игры.,490,Балансиры,,
141,Балансир Scorana Ice Crystal 5см 12г,Балансир с яркой голограммой для привлечения хищника.,650,Балансиры,,
142,Мормышка капля 0.5г вольфрам,Тяжелая мормышка для ловли на глубине.,95,Мормышки,,
143,Мормышка Salmo Diamond Moth 0.3г,Безмотыльная мормышка с бриллиантовой огранкой.,120,Мормышки,,
144,Мормышка Lucky John GLK 0.6г,Крупная мормышка с крючком Owner.,110,Мормышки,,
145,Плетеный шнур Daiwa J-Braid 8x 0.13мм 150м,Восьмижильная плетенка с круглым сечением.,1490,Лески и шнуры,,
146,Флюорокарбон Owner Fluoro 0.235мм 50м,Жесткий флюорокарбон для поводков.,620,Лески и шнуры,,
147,Крючки Kamasan B560 №6 (10 шт),Прочные крючки для фидера и поплавка.,290,Крючки,,
148,Крючки карповые Gardner Mugga 2 (10 шт),Усиленные крючки с тефлоновым покрытием.,420,Крючки,,
149,Крючки Owner 53144 №12 (15 шт),Тонкие крючки для мотыля.,250,Крючки,,
150,Поплавок Drennan Crystal 2г,Прозрачный поплавок с хорошей остойчивостью.,210,Поплавки,,
151,Поплавок Tubertini Minifloat 1г,Миниатюрный поплавок для штекерной ловли.,190,Поплавки,,
152,Кормушка-пуля Preston 20г,Обтекаемая кормушка для дальнего заброса.,175,Кормушки,,
153,Кормушка флэт методная 45г средняя,Методная кормушка с огрузкой.,240,Кормушки,,
154,Прикормка Dynamite Baits Swim Stim Betaine Green 1кг,Английская прикормка с бетаином для карпа.,590,Прикормка,,
155,Прикормка Browning Black Viper 1кг,Универсальная прикормка темного цвета.,420,Прикормка,,
156,Зимний костюм Shimano Kairiki,Теплый костюм с мембраной для суровых условий.,22500,Одежда,,
157,Летние брюки Daiwa Airdrive,Легкие дышащие брюки с защитой от УФ.,4990,Одежда,,
158,Куртка флисовая Norfin Wild,Утепляющий слой для межсезонья.,3890,Одежда,,
159,Вейдерсы водостойкие Rapala Vario 2,Полукомбинезон из неопрена 3 мм.,8990,Одежда,,
160,Садок пластиковый 2.5м,Плавающий садок с мелкой ячеей.,1450,Аксессуары,,
161,Подсак Fox Rage Predator 90см,Подсак с прорезиненной сеткой для хищника.,3890,Аксессуары,,
162,Стойка под удилище Carp Zoom 2 шт.,Регулируемые стойки с сигнализатором.,1790,Аксессуары,,
163,Сигнализатор поклевки Fox Mini Micron,Электронный сигнализатор с регулировкой громкости.,2690,Аксессуары,,
164,Эхолот Lowrance Hook Reveal 5,Эхолот с GPS и картплоттером.,34900,Аксессуары,,
165,Зарядное устройство для аккумуляторов Norfin 12V,Интеллектуальное зарядное устройство.,2190,Аксессуары,,
166,Ящик для снастей Meiho VS-708,Компактный ящик с перегородками.,890,Аксессуары,,
167,Сумка поясная для приманок Flambeau,Удобная сумка с отделениями.,1550,Аксессуары,,
168,Чехол для катушек Daiwa,Защитный неопреновый чехол.,750,Аксессуары,,
169,Экстрактор хирургический 25см,Инструмент для извлечения крючков.,380,Аксессуары,,
170,Грузила каплевидные 10-30г набор,Набор грузил для джига.,490,Аксессуары,,
171,Поводки стальные 15см (10 шт),Надежные поводки для щуки.,320,Аксессуары,,
172,Ножницы для плетенки Cuda,Титановые ножницы с чехлом.,1290,Инструменты,,
173,Щипцы для снятия крючков Fox Rage,Длинные щипцы с фиксатором.,790,Инструменты,,
174,Палатка зимняя Norfin Winter 2-мест.,Быстросборная палатка с утепленным дном.,11500,Палатки,,
175,Палатка летняя Carp Zoom Easy Shelter,Легкая палатка для карпфишинга.,6990,Палатки,,
176,Видеокамера для рыбалки GoFish Cam,Подводная камера для съемки поклевок.,8900,Электроника,,
177,Спиннинг G.Loomis E6X 240 5-15г,Премиальный американский спиннинг с высокой чувствительностью.,27900,Спиннинги,5.0,15.0
178,Катушка Penn Battle III 2500,Мощная катушка для морской и пресноводной ловли.,7990,Катушки,,
179,Воблер Duo Realis Jerkbait 120SP,Составной воблер с размашистой игрой.,1450,Воблеры,,
180,"Силикон Gary Yamamoto Senko 5"" (7 шт)",Знаменитый червь для техасской оснастки.,650,Приманки,,
181,Сумка для удилищ Lucky John 1.5м,Мягкая сумка на два отделения.,1390,Аксессуары,,
182,Застёжка-карабин Owner №1 (10 шт),Надёжные застёжки для быстрой смены приманок.,290,Аксессуары,,
183,Спиннинг Norstream Areal New 270 3-18г,Обновлённая версия популярного спиннинга с быстрым строем.,8990,Спиннинги,3.0,18.0
184,Спиннинг Favorite X1 Ultra 210 1-7г,Ультралайтовый спиннинг для деликатных приманок.,3490,Спиннинги,1.0,7.0
185,Спиннинг Zemex Spider Pro 270 10-32г,Универсальный спиннинг с большим тестом для трофейной рыбы.,5090,Спиннинги,10.0,32.0
186,Спиннинг Black Hole NS Matrix II 240 5-21г,Второе поколение лёгкого и сбалансированного спиннинга.,5890,Спиннинги,5.0,21.0
187,Спиннинг Major Craft Solpara SPS-S240ML 5-20г,Надёжный спиннинг с чувствительным бланком для джига.,7690,Спиннинги,5.0,20.0
188,Спиннинг Stinger Manic 27 10-30г,Бюджетный спиннинг быстрого строя для береговой ловли.,2790,Спиннинги,10.0,30.0
189,Спиннинг Maximus Black Widow 24L 5-18г,Лёгкий и звонкий спиннинг для твичинга и лёгкого джига.,4490,Спиннинги,5.0,18.0
190,Спиннинг Kosadaka Menace 270 15-45г,Мощный спиннинг для крупных приманок и трофейной щуки.,3690,Спиннинги,15.0,45.0
191,Спиннинг Lucky John Progress Jig 27 10-30г,Универсальный спиннинг средне-быстрого строя.,4590,Спиннинги,10.0,30.0
192,Спиннинг Graphiteleader Aspro 210 2-12г,Премиальный лёгкий спиннинг для микроджига и воблеров.,21500,Спиннинги,2.0,12.0
193,Спиннинг Abu Garcia Veritas 240 7-28г,Прочный и лёгкий спиннинг с технологией Powerlux.,8990,Спиннинги,7.0,28.0
194,Катушка Shimano Vanford 2500,Лёгкая и мощная катушка с фрикционом MGL.,15490,Катушки,,
195,Катушка Daiwa Ballistic LT 2500D,Профессиональная катушка с технологией Zaion.,14990,Катушки,,
196,Катушка Abu Garcia Revo Rocket 30,Скоростная катушка (7.6:1) для активной ловли.,10990,Катушки,,
197,Катушка Ryobi Exia MX 3000,Обновлённая версия с улучшенной укладкой лески.,3990,Катушки,,
198,Катушка Okuma Ceymar XT 30,Бюджетная катушка с дисковым тормозом.,4690,Катушки,,
199,Катушка Favorite White Bird 3000,Надёжная бюджетная катушка для средних нагрузок.,2590,Катушки,,
200,Катушка Tsurinoya Spirit Fox 3000,Популярная катушка с отличной тягой для джига.,4890,Катушки,,
201,Катушка Spro Zalt X 2500,Усовершенствованная модель с усиленным механизмом.,7290,Катушки,,
202,Катушка Stinger Power 4000,Бюджетная катушка для тяжёлого джига.,2990,Катушки,,
203,Катушка Mitchell 300 Pro,Современная классика с плавным ходом.,5590,Катушки,,
204,Катушка Penn Battle III 3000,Мощная катушка для морской и пресноводной ловли.,8490,Катушки,,
205,Катушка Shimano Sahara FJ 2500,Обновлённая бюджетная катушка с холоднокованым ротором.,7490,Катушки,,
206,Фидер Salmo Sniper Feeder 420 150г,Мощный фидер для дальнего заброса кормушек до 150г.,6490,Фидеры,0.0,150.0
207,Фидер Волжанка Оптима 420 180г,Удлинённый фидер для ловли на крупных водоёмах.,5690,Фидеры,0.0,180.0
208,Фидер Shimano Beastmaster Feeder 420 140г,Премиальный фидер с идеальной сенсорикой.,14490,Фидеры,0.0,140.0
209,Фидер Daiwa Whisker 390 120г,Лёгкий и точный фидер для стоячей воды.,8990,Фидеры,0.0,120.0
210,Фидер Preston Monster Feeder 420 180г,Профессиональный фидер для трофейной рыбы.,13490,Фидеры,0.0,180.0
211,Фидер Browning Black Viper 390 120г,Универсальный фидер с быстрым строем.,7990,Фидеры,0.0,120.0
212,Карповое удилище Fox Horizon XTC 150г,Премиальное удилище с высокой прочностью.,19900,Карповые удилища,0.0,150.0
213,Карповое удилище Shimano Tribal Velocity 160г,Универсальное удилище для карпятника.,12990,Карповые удилища,0.0,160.0
214,Карповое удилище Mikado Carp Spirit 396 180г,Бюджетное удилище с параболическим строем.,5890,Карповые удилища,0.0,180.0
215,Карповое удилище Daiwa Longbow 360 120г,Лёгкое удилище с отличной бросковостью.,10990,Карповые удилища,0.0,120.0
216,Карповое удилище Sonik SKS 366 150г,Надёжное удилище с высококачественной фурнитурой.,8990,Карповые удилища,0.0,150.0
217,Карповое удилище JRC Contact 360 130г,Проверенное временем карповое удилище.,7490,Карповые удилища,0.0,130.0
218,Зимняя удочка Rapala Ice Pro 60см 2-6г,Лёгкая удочка для блеснения окуня с чувствительным кивком.,1490,Зимние удочки,2.0,6.0
219,Зимняя удочка Lucky John MGS Ice 60см 1-4г,Удочка с кивком для деликатной ловли на мормышку.,990,Зимние удочки,1.0,4.0
220,Зимняя удочка Stinger Power Ice Pro 70см 4-10г,Мощная удочка для балансира и крупной щуки.,1790,Зимние удочки,4.0,10.0
221,Зимняя удочка Salmo Ice Rod 50см 1-5г,Компактная удочка для ловли в палатке.,1190,Зимние удочки,1.0,5.0
222,Зимняя удочка Favorite Frost 55см 2-8г,Универсальная зимняя удочка для блёсен и балансиров.,1390,Зимние удочки,2.0,8.0
223,Воблер ZipBaits Rigge 70S,Тонущий воблер для скоростного твичинга.,1350,Воблеры,,
224,Воблер OSP Varuna 110SP,Суспендер с размашистой игрой для щуки.,2100,Воблеры,,
225,Воблер Ever Green Showerblows 105,Поверхностный воблер для ловли над травой.,1700,Воблеры,,
226,Воблер Pontoon 21 Bet-A 70F,Плавающий воблер с активной игрой для окуня.,900,Воблеры,,
227,Воблер Lucky Craft Flash Pointer 115MR,Дальнобойный суспендер для морских и речных хищников.,1550,Воблеры,,
228,Воблер Rapala BX Minnow 10,Воблер из бальсы с живой игрой для трофейной щуки.,1450,Воблеры,,
